* File generated by WRT_WOUDC,Ver. Mar-2010
* 'na' means not available

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2018-03-15,DWD-MOHp,0.0,wolfgang.steinbrecht@dwd.de

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,099,Hohenpeissenberg,DEU,10962

#INSTRUMENT
Name,Model,Number
Brewer-Mast,730-10,na

#LOCATION
Latitude,Longitude,Height
47.8,11.0,976.

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2018-02-09,05:49:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
384.4,2,405.4,1.058,429.0,

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesgroundO3
RS92-AGP,,,,no correction,bubbler,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
901.97,0.47,-4.2,1.9,160.,0,0.,976.0,95.,19.1
895.17,0.53,-4.9,1.3,267.,0,10.,1035.6,97.,19.1
888.58,0.59,-5.3,1.4,105.,0,20.,1093.8,98.,19.0
882.20,0.60,-5.7,1.7,120.,0,30.,1150.3,99.,19.0
874.78,0.62,-6.2,1.5,130.,0,40.,1216.6,99.,19.0
867.98,0.63,-6.6,1.3,156.,0,50.,1277.6,99.,19.0
862.83,0.66,-7.0,1.4,152.,0,60.,1324.1,99.,19.0
856.53,0.76,-5.0,1.9,120.,0,70.,1381.6,91.,19.0
850.51,1.39,-5.0,2.4,94.,0,80.,1437.1,85.,18.9
844.31,1.99,-5.2,2.9,250.,0,90.,1494.6,85.,18.8
838.98,2.34,-5.4,3.5,244.,0,100.,1544.4,84.,18.8
833.78,2.57,-5.4,3.7,252.,0,110.,1593.2,83.,18.8
827.82,2.74,-5.4,3.6,258.,0,120.,1649.5,81.,18.8
822.05,2.86,-5.7,3.5,260.,0,130.,1704.4,79.,18.8
816.25,2.97,-5.9,3.4,265.,0,140.,1760.0,75.,18.7
809.99,3.06,-6.2,3.5,96.,0,150.,1820.3,77.,18.7
804.07,3.12,-6.5,4.0,107.,0,160.,1877.7,78.,18.7
798.34,3.17,-6.7,4.7,119.,0,170.,1933.6,79.,18.6
793.67,3.17,-7.0,4.8,128.,0,180.,1979.4,79.,18.7
788.27,3.16,-6.9,4.1,133.,0,190.,2032.7,75.,18.7
783.06,3.11,-7.2,2.9,139.,0,200.,2084.5,75.,18.7
777.12,3.05,-7.6,1.6,166.,0,210.,2143.8,76.,18.7
772.04,3.01,-7.9,1.9,222.,0,220.,2194.9,75.,18.8
766.67,2.94,-7.8,2.9,241.,0,230.,2249.2,72.,18.8
761.10,2.94,-7.8,3.2,251.,0,240.,2305.9,69.,18.7
755.64,2.96,-7.9,3.5,259.,0,250.,2361.9,64.,18.7
750.13,3.02,-8.2,4.0,258.,0,260.,2418.8,62.,18.7
745.20,3.06,-8.5,4.5,259.,0,270.,2470.0,61.,18.7
739.56,3.09,-9.0,5.3,265.,0,280.,2528.9,61.,18.7
734.61,3.11,-9.4,6.3,90.,0,290.,2580.9,62.,18.7
729.87,3.11,-9.6,6.9,94.,0,300.,2630.9,59.,18.6
725.06,3.16,-10.0,6.9,96.,0,310.,2682.0,58.,18.7
720.83,3.17,-10.4,6.5,94.,0,320.,2727.1,59.,18.7
715.68,3.14,-11.0,6.1,90.,0,330.,2782.3,60.,18.7
711.15,3.14,-11.4,6.2,270.,0,340.,2831.0,60.,18.7
705.23,3.14,-11.9,7.0,92.,0,350.,2895.1,61.,18.6
700.65,3.12,-12.4,7.5,94.,0,360.,2944.9,63.,18.5
696.61,3.11,-12.7,7.3,91.,0,370.,2989.1,66.,18.5
