* File generated by WRT_WOUDC,Ver. Mar-2010
* 'na' means not available

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2018-03-15,DWD-MOHp,0.0,wolfgang.steinbrecht@dwd.de

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,099,Hohenpeissenberg,DEU,10962

#INSTRUMENT
Name,Model,Number
Brewer-Mast,730-10,na

#LOCATION
Latitude,Longitude,Height
47.8,11.0,976.

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2018-02-21,05:57:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
318.4,2,335.1,1.122,376.0,0,0,Dobson,104

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesgroundO3
RS92-AGP,,,,no correction,bubbler,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
901.58,1.02,-5.6,3.1,210.,0,0.,976.0,94.,18.6
896.39,1.17,-6.2,5.0,212.,0,10.,1021.3,99.,18.5
891.19,1.34,-6.5,5.6,213.,0,20.,1066.8,99.,18.6
885.69,1.37,-6.8,5.7,214.,0,30.,1115.2,99.,18.5
880.78,1.12,-7.0,5.6,221.,0,40.,1158.6,99.,18.5
875.61,1.71,-7.3,5.4,232.,0,50.,1204.6,99.,18.5
870.04,1.57,-7.4,5.3,240.,0,60.,1254.3,98.,18.5
863.93,1.29,-7.8,5.3,242.,0,70.,1309.2,98.,18.5
858.24,1.42,-8.0,5.3,245.,0,80.,1360.6,98.,18.5
852.78,1.71,-8.3,5.4,250.,0,90.,1410.2,98.,18.4
846.61,1.95,-8.6,5.6,254.,0,100.,1466.6,99.,18.5
841.46,1.95,-8.9,5.7,254.,0,110.,1513.9,98.,18.4
835.71,1.86,-9.2,6.1,251.,0,120.,1567.1,98.,18.4
830.19,1.80,-9.6,6.8,250.,0,130.,1618.3,98.,18.4
824.71,2.17,-9.9,7.4,254.,0,140.,1669.5,98.,18.4
818.42,2.48,-10.3,7.6,259.,0,150.,1728.6,94.,18.4
812.91,2.56,-10.7,7.9,262.,0,160.,1780.6,93.,18.4
807.42,2.67,-11.1,8.6,261.,0,170.,1832.7,91.,18.3
801.41,2.76,-11.5,9.6,261.,0,180.,1890.1,89.,18.3
796.30,2.88,-11.8,10.7,261.,0,190.,1939.1,90.,18.3
790.64,2.96,-12.1,11.4,263.,0,200.,1993.7,88.,18.3
784.38,3.02,-12.6,11.6,263.,0,210.,2054.5,84.,18.3
780.29,3.05,-12.9,11.5,264.,0,220.,2094.4,84.,18.3
775.64,3.06,-13.2,11.4,266.,0,230.,2140.0,85.,18.3
770.60,3.10,-13.5,11.6,268.,0,240.,2189.7,87.,18.3
765.82,3.13,-13.9,11.8,268.,0,250.,2237.0,89.,18.2
760.49,3.06,-14.3,11.9,268.,0,260.,2290.0,90.,18.2
756.11,3.06,-14.7,11.8,267.,0,270.,2333.8,93.,18.2
750.84,3.06,-15.1,11.3,267.,0,280.,2386.8,95.,18.2
745.30,3.10,-15.5,10.7,269.,0,290.,2442.8,96.,18.2
740.09,3.09,-15.8,10.7,93.,0,300.,2495.7,96.,18.2
734.40,3.09,-16.2,11.4,95.,0,310.,2553.9,96.,18.1
728.72,3.05,-16.7,12.3,95.,0,320.,2612.4,96.,18.1
722.41,3.05,-17.1,13.4,270.,0,330.,2677.7,96.,18.1
716.53,3.02,-17.1,14.5,262.,0,340.,2739.0,98.,18.1
711.29,3.05,-15.1,15.4,257.,0,350.,2794.3,96.,18.0
705.86,3.11,-15.3,15.5,256.,0,360.,2852.3,92.,18.0
701.00,3.14,-15.6,15.3,257.,0,370.,2904.5,90.,18.0
